Language,Native speakers(millions),Language family,Branch
"Mandarin Chinese(incl. Standard Chinese, but excl. other varieties)",939,Sino-Tibetan,Sinitic
Spanish,485,Indo-European,Romance
English,380,Indo-European,Germanic
"Hindi(excl. Urdu, and other languages)",345,Indo-European,Indo-Aryan
Portuguese,236,Indo-European,Romance
Bengali,234,Indo-European,Indo-Aryan
Russian,147,Indo-European,Balto-Slavic
Japanese,123,Japonic,Japanese
Yue Chinese(incl. Cantonese),86.1,Sino-Tibetan,Sinitic
Vietnamese,85.0,Austroasiatic,Vietic
Turkish,84.0,Turkic,Oghuz
Wu Chinese(incl. Shanghainese),83.4,Sino-Tibetan,Sinitic
Marathi,83.2,Indo-European,Indo-Aryan
Telugu,83.0,Dravidian,South-Central
Korean,81.7,Koreanic,—
French,80.8,Indo-European,Romance
Tamil,78.6,Dravidian,South
Egyptian Spoken Arabic(excl. Saʽidi Arabic),77.4,Afroasiatic,Semitic
Standard German,75.3,Indo-European,Germanic
Urdu(excl. Hindi),70.6,Indo-European,Indo-Aryan
Javanese,68.3,Austronesian,Malayo-Polynesian
Western Punjabi(excl. Eastern Punjabi),66.7,Indo-European,Indo-Aryan
Italian,64.6,Indo-European,Romance
Gujarati,57.1,Indo-European,Indo-Aryan
Iranian Persian(excl. Dari and Tajik),57.2,Indo-European,Iranian
Bhojpuri,52.3,Indo-European,Indo-Aryan
Hausa,51.7,Afroasiatic,Chadic
